,price,location,version,year,engine,km,owner_num,gear_type,color,origin_own,nxt_test,test_cost,version_num,color_num,engine_num,location_num
222,74900,פתח תקווה,קיה פיקנטו PICANTO LX,2019,1248 ליטר בנזין,46316,2,אוטומטי,שחור,פרטית,11,1102,740,65,7,35
223,89900,חיפה,יונדאי I20 I20 PRIME PLUS,2021,998 ליטר בנזין,44637,2,אוטומטי,אפור מטל,פרטית,10,1529,266,13,150,12
225,59900,נתניה,מזדה 6 MAZDA 6 PREMIUM,2013,2488 ליטר בנזין,120000,3,אוטומטי,שנהב לבן,פרטית,1,1693,353,70,100,28
226,58000,חיפה,קיה ריו RIO LX,2017,1396 ליטר בנזין,103000,1,אוטומטי,כסף,ליסינג,6,1353,745,46,26,12
229,112000,עפולה,קיה ספורטז' SPORTAGE URBAN,2019,1598 ליטר דיזל,129033,1,אוטומטי,שחור,פרטית,7,1835,735,65,54,32
232,97990,עפולה,רנו מגאן MEGANE INTENSE,2019,1461 ליטר דיזל,80000,1,אוטומטי,כסף מטלי,ליסינג,5,1604,750,49,29,32
233,91900,הרצליה,יונדאי טוסון TUCSON PREMIUM,2016,1999 ליטר בנזין,56000,2,אוטומטי,כסף,פרטית,6,1584,297,46,84,9
234,104000,רעננה,סיאט ארונה ARONA FR,2020,999 ליטר בנזין,59000,1,אוטומטי,אדום כהה (יין),ליסינג,11,1353,548,3,151,44
236,105900,עפולה,קיה אופטימה OPTIMA HEV PREMIUM,2018,1999 ליטר בנזין,122000,1,אוטומטי,שנהב לבן,השכרה,5,2019,713,70,84,32
237,37900,נתניה,מרצדס C קלאס C200CDI TAXICLASSIC,2012,2143 ליטר דיזל,400000,2,אוטומטי,שנהב לבן,אחר,1,1726,411,70,86,28
